l_initial_mm,l_change_mm
8.62,6.63
9.08,4.56
9.69,2.48
10.13,4.96
10.98,5.91
11.88,5.1
13.07,6.55
13.26,5.38
13.09,3
14.19,6.54
14.28,5.16
15.5,6.17
15.54,5.19
16.69,5.2
17.58,4.13
17.79,5.37
19.18,5.25
19.12,3.05
20.41,5.21
21.42,5.33
22.18,5.06
10.8,6.88
