l_initial_mm,l_change_mm
8.46,0.32
8.95,-0.21
9.26,0.32
9.49,1.54
9.65,0.13
10.15,0.75
10.75,-0.25
10.84,1.07
10.94,0.08
11.1,-0.52
11.59,0.53
12.97,0.48
13.4,-0.17
13.65,0.69
14.14,-0.07
14.88,-0.03
15.44,0.84
15.72,-0.11
15.73,1.64
16.41,0.46
17.28,0.3
17.67,-0.26
17.95,1.06
18.07,-0.49
18.95,0.27
19.39,-0.07
19.73,0.69
19.98,-0.23
20.51,0.88
21.24,0.81
21.19,0.08
21.88,1.15
21.68,0.05
